"Total phenols";"Proanthocyanins";"Malic acid";"Hue";"OD280/OD315 of diluted wines";"Magnesium";"Ash";"Color intensity";"Alcalinity of ash";"Alcohol"
127;0.28;14.23;5.64;1.04;15.6;1.71;2.29;2.43;"1"
100;0.26;13.2;4.38;1.05;11.2;1.78;1.28;2.14;"1"
101;0.3;13.16;5.68;1.03;18.6;2.36;2.81;2.67;"1"
113;0.24;14.37;7.8;0.86;16.8;1.95;2.18;2.5;"1"
118;0.39;13.24;4.32;1.04;21.0;2.59;1.82;2.87;"1"
112;0.34;14.2;6.75;1.05;15.2;1.76;1.97;2.45;"1"
96;0.3;14.39;5.25;1.02;14.6;1.87;1.98;2.45;"1"
121;0.31;14.06;5.05;1.06;17.6;2.15;1.25;2.61;"1"
97;0.29;14.83;5.2;1.08;14.0;1.64;1.98;2.17;"1"
98;0.22;13.86;7.22;1.01;16.0;1.35;1.85;2.27;"1"
105;0.22;14.1;5.75;1.25;18.0;2.16;2.38;2.3;"1"
95;0.26;14.12;5.0;1.17;16.8;1.48;1.57;2.32;"1"
89;0.29;13.75;5.6;1.15;16.0;1.73;1.81;2.41;"1"
91;0.43;14.75;5.4;1.25;11.4;1.73;2.81;2.39;"1"
102;0.29;14.38;7.5;1.2;12.0;1.87;2.96;2.38;"1"
112;0.3;13.63;7.3;1.28;17.2;1.81;1.46;2.7;"1"
120;0.33;14.3;6.2;1.07;20.0;1.92;1.97;2.72;"1"
115;0.4;13.83;6.6;1.13;20.0;1.57;1.72;2.62;"1"
108;0.32;14.19;8.7;1.23;16.5;1.59;1.86;2.48;"1"
116;0.17;13.64;5.1;0.96;15.2;3.1;1.66;2.56;"1"
126;0.24;14.06;5.65;1.09;16.0;1.63;2.1;2.28;"1"
102;0.25;12.93;4.5;1.03;18.6;3.8;1.98;2.65;"1"
101;0.27;13.71;3.8;1.11;16.6;1.86;1.69;2.36;"1"
95;0.26;12.85;3.93;1.09;17.8;1.6;1.46;2.52;"1"
96;0.28;13.5;3.52;1.12;20.0;1.81;1.66;2.61;"1"
124;0.47;13.05;3.58;1.13;25.0;2.05;1.92;3.22;"1"
93;0.34;13.39;4.8;0.92;16.1;1.77;1.45;2.62;"1"
94;0.27;13.3;3.95;1.02;17.0;1.72;1.35;2.14;"1"
107;0.37;13.87;4.5;1.25;19.4;1.9;1.76;2.8;"1"
96;0.26;14.02;4.7;1.04;16.0;1.68;1.98;2.21;"1"
101;0.29;13.73;5.7;1.19;22.5;1.5;2.38;2.7;"1"
106;0.22;13.58;6.9;1.09;19.1;1.66;1.95;2.36;"1"
104;0.42;13.68;3.84;1.23;17.2;1.83;1.97;2.36;"1"
132;0.5;13.76;5.4;1.25;19.5;1.53;1.35;2.7;"1"
110;0.29;13.51;4.2;1.1;19.0;1.8;1.54;2.65;"1"
100;0.26;13.48;5.1;1.04;20.5;1.81;1.86;2.41;"1"
110;0.34;13.28;4.6;1.09;15.5;1.64;1.36;2.84;"1"
98;0.29;13.05;4.25;1.12;18.0;1.65;1.44;2.55;"1"
98;0.28;13.07;3.7;1.18;15.5;1.5;1.37;2.1;"1"
128;0.2;14.22;5.1;0.89;13.2;3.99;2.08;2.51;"1"
117;0.34;13.56;6.13;0.95;16.2;1.71;2.34;2.31;"1"
90;0.27;13.41;4.28;0.91;18.8;3.84;1.48;2.12;"1"
101;0.17;13.88;5.43;0.88;15.0;1.89;1.7;2.59;"1"
103;0.32;13.24;4.36;0.82;17.5;3.98;1.66;2.29;"1"
107;0.28;13.05;5.04;0.88;17.0;1.77;2.03;2.1;"1"
111;0.3;14.21;5.24;0.87;18.9;4.04;1.25;2.44;"1"
102;0.27;14.38;4.9;1.04;16.0;3.59;2.19;2.28;"1"
101;0.21;13.9;6.1;0.91;16.0;1.68;2.14;2.12;"1"
103;0.32;14.1;6.2;1.07;18.8;2.02;2.38;2.4;"1"
108;0.32;13.94;8.9;1.12;17.4;1.73;2.08;2.27;"1"
92;0.17;13.05;7.2;1.12;12.4;1.73;2.91;2.04;"1"
94;0.22;13.83;5.6;1.24;17.2;1.65;2.29;2.6;"1"
111;0.32;13.82;7.05;1.01;14.0;1.75;1.87;2.42;"1"
115;0.39;13.77;6.3;1.13;17.1;1.9;1.68;2.68;"1"
118;0.21;13.74;5.85;0.92;16.4;1.67;1.62;2.25;"1"
116;0.2;13.56;6.25;0.98;20.5;1.73;2.45;2.46;"1"
118;0.26;14.22;6.38;0.94;16.3;1.7;2.03;2.3;"1"
102;0.31;13.29;6.0;1.07;16.8;1.97;1.66;2.68;"1"
108;0.19;13.72;6.8;0.89;16.7;1.43;2.04;2.5;"1"
88;0.28;12.37;1.95;1.05;10.6;0.94;0.42;1.36;"2"
101;0.63;12.33;3.27;1.25;16.0;1.1;0.41;2.28;"2"
100;0.53;12.64;5.75;0.98;16.8;1.36;0.62;2.02;"2"
94;0.32;13.67;3.8;1.23;18.0;1.25;0.73;1.92;"2"
87;0.19;12.37;4.45;1.22;19.0;1.13;1.87;2.16;"2"
104;0.45;12.17;2.95;1.45;19.0;1.45;1.03;2.53;"2"
98;0.37;12.37;4.6;1.19;18.1;1.21;2.08;2.56;"2"
78;0.26;13.11;5.3;1.12;15.0;1.01;2.28;1.7;"2"
78;0.27;12.37;4.68;1.12;19.6;1.17;1.04;1.92;"2"
110;0.55;13.34;3.17;1.02;17.0;0.94;0.42;2.36;"2"
151;0.14;12.21;2.85;1.28;16.8;1.19;2.5;1.75;"2"
103;0.37;12.29;3.05;0.9059999999999999;20.4;1.61;1.46;2.21;"2"
86;0.21;13.86;3.38;1.36;25.0;1.51;1.87;2.67;"2"
87;0.27;13.49;3.74;0.98;24.0;1.66;1.03;2.24;"2"
139;0.21;12.99;3.35;1.31;30.0;1.67;1.96;2.6;"2"
101;0.13;11.96;3.21;0.99;21.0;1.09;1.65;2.3;"2"
97;0.34;11.66;3.8;1.23;16.0;1.88;1.15;1.92;"2"
86;0.24;13.03;4.6;1.19;16.0;0.9;1.46;1.71;"2"
112;0.43;11.84;2.65;0.96;18.0;2.89;0.95;2.23;"2"
136;0.35;12.33;3.4;1.06;14.8;0.99;2.76;1.95;"2"
101;0.43;12.7;2.57;1.19;23.0;3.87;1.95;2.4;"2"
86;0.3;12.0;2.5;1.38;19.0;0.92;1.43;2.0;"2"
86;0.26;12.72;3.9;1.16;18.8;1.81;1.77;2.2;"2"
78;0.4;12.08;2.2;1.31;24.0;1.13;1.4;2.51;"2"
85;0.61;13.05;4.8;0.84;22.5;3.86;1.62;2.32;"2"
94;0.22;11.84;3.05;0.79;18.0;0.89;2.35;2.58;"2"
99;0.3;12.67;2.62;1.23;18.0;0.98;1.46;2.24;"2"
90;0.43;12.16;2.45;1.33;22.8;1.61;1.56;2.31;"2"
88;0.4;11.65;2.6;1.36;26.0;1.67;1.34;2.62;"2"
84;0.48;11.64;2.8;1.0;21.6;2.06;1.35;2.46;"2"
70;0.42;12.08;1.74;1.07;23.6;1.33;1.38;2.3;"2"
81;0.52;12.08;2.4;1.08;18.5;1.83;1.64;2.32;"2"
86;0.5;12.0;3.6;1.05;22.0;1.51;1.63;2.42;"2"
80;0.58;12.69;3.05;0.96;20.7;1.53;1.62;2.26;"2"
88;0.25;12.29;2.15;1.15;18.0;2.83;1.99;2.22;"2"
98;0.17;11.62;3.25;1.16;18.0;1.99;1.35;2.28;"2"
162;0.32;12.47;2.6;1.16;19.0;1.52;3.28;2.2;"2"
134;0.14;11.81;2.5;0.95;21.5;2.12;1.56;2.74;"2"
85;0.29;12.29;2.9;1.23;16.0;1.41;1.77;1.98;"2"
88;0.24;12.37;4.5;1.04;18.5;1.07;1.95;2.1;"2"
88;0.45;12.29;2.3;1.42;18.0;3.17;2.81;2.21;"2"
97;0.26;12.08;3.3;1.27;17.5;2.08;1.4;1.7;"2"
88;0.29;12.6;2.45;1.04;18.5;1.34;1.35;1.9;"2"
98;0.34;12.34;2.8;0.8;21.0;2.45;1.31;2.46;"2"
86;0.37;11.82;2.06;0.94;19.5;1.72;1.42;1.88;"2"
85;0.32;12.51;2.94;1.04;20.5;1.73;1.48;1.98;"2"
90;0.66;12.42;2.7;0.86;22.0;2.55;1.42;2.27;"2"
80;0.37;12.25;3.4;1.0;19.0;1.73;1.63;2.12;"2"
84;0.48;12.72;3.3;0.88;22.5;1.75;1.63;2.28;"2"
92;0.39;12.22;2.7;0.86;19.0;1.29;2.08;1.94;"2"
94;0.29;11.61;2.65;0.96;20.0;1.35;2.49;2.7;"2"
107;0.24;11.46;2.9;0.75;19.5;3.74;3.58;1.82;"2"
88;0.26;12.52;2.0;0.9;21.0;2.43;1.22;2.17;"2"
103;0.6;11.76;3.8;1.23;20.0;2.68;1.05;2.92;"2"
88;0.42;11.41;3.08;1.1;21.0;0.74;1.44;2.5;"2"
84;0.43;12.08;2.9;0.93;22.5;1.39;1.04;2.5;"2"
85;0.52;11.03;1.9;1.71;21.5;1.51;2.01;2.2;"2"
86;0.3;11.82;1.95;0.95;20.8;1.47;1.53;1.99;"2"
108;0.34;12.42;2.06;1.06;22.5;1.61;1.61;2.19;"2"
80;0.43;12.77;3.4;0.7;16.0;3.43;0.83;1.98;"2"
87;0.37;12.0;1.28;0.93;19.0;3.43;1.87;2.0;"2"
96;0.32;11.45;3.25;0.8;20.0;2.4;1.83;2.42;"2"
119;0.47;11.56;6.0;0.93;28.5;2.05;1.87;3.23;"2"
102;0.43;12.42;2.08;0.92;26.5;4.43;1.71;2.73;"2"
86;0.3;13.05;2.6;0.73;21.5;5.8;2.01;2.13;"2"
82;0.21;11.87;2.8;0.75;21.0;4.31;2.91;2.39;"2"
85;0.37;12.07;2.76;0.86;21.0;2.16;1.35;2.17;"2"
86;0.39;12.43;3.94;0.69;21.5;1.53;1.77;2.29;"2"
92;0.58;11.79;3.0;0.97;28.5;2.13;1.76;2.78;"2"
88;0.4;12.37;2.12;0.89;24.5;1.63;1.9;2.3;"2"
80;0.42;12.04;2.6;0.79;22.0;4.3;1.35;2.38;"2"
122;0.21;12.86;4.1;0.76;18.0;1.35;0.94;2.32;"3"
104;0.24;12.88;5.4;0.74;20.0;2.99;0.83;2.4;"3"
98;0.27;12.81;5.7;0.66;24.0;2.31;0.83;2.4;"3"
106;0.17;12.7;5.0;0.78;21.5;3.55;0.84;2.36;"3"
85;0.6;12.51;5.45;0.75;17.5;1.24;1.25;2.25;"3"
94;0.63;12.6;7.1;0.73;18.5;2.46;0.94;2.2;"3"
89;0.53;12.25;3.85;0.75;21.0;4.72;0.8;2.54;"3"
96;0.63;12.53;5.0;0.82;25.0;5.51;1.1;2.64;"3"
88;0.58;13.49;5.7;0.81;19.5;3.59;0.88;2.19;"3"
101;0.53;12.84;4.92;0.89;24.0;2.96;0.81;2.61;"3"
96;0.53;12.93;4.6;0.77;21.0;2.81;0.75;2.7;"3"
89;0.37;13.36;5.6;0.7;20.0;2.56;0.64;2.35;"3"
97;0.5;13.52;4.35;0.89;23.5;3.17;0.55;2.72;"3"
92;0.47;13.62;4.4;0.91;20.0;4.95;1.02;2.35;"3"
112;0.29;12.25;8.21;0.65;18.5;3.88;1.14;2.2;"3"
102;0.43;13.16;4.0;0.6;21.0;3.57;1.3;2.15;"3"
80;0.4;13.88;4.9;0.58;20.0;5.04;0.68;2.23;"3"
86;0.47;12.87;7.65;0.54;21.5;4.61;0.86;2.48;"3"
92;0.45;13.32;8.42;0.55;21.5;3.24;1.25;2.38;"3"
113;0.34;13.08;9.4;0.57;21.5;3.9;1.14;2.36;"3"
123;0.22;13.5;8.6;0.59;24.0;3.12;1.25;2.62;"3"
112;0.24;12.79;10.8;0.48;22.0;2.67;1.26;2.48;"3"
116;0.26;13.11;7.1;0.61;25.5;1.9;1.56;2.75;"3"
98;0.61;13.23;10.52;0.56;18.5;3.3;1.87;2.28;"3"
103;0.53;12.58;7.6;0.58;20.0;1.29;1.4;2.1;"3"
93;0.61;13.17;7.9;0.6;22.0;5.19;1.55;2.32;"3"
89;0.48;13.84;9.01;0.57;19.5;4.12;1.56;2.38;"3"
97;0.63;12.45;7.5;0.67;27.0;3.03;1.14;2.64;"3"
98;0.53;14.34;13.0;0.57;25.0;1.68;2.7;2.7;"3"
89;0.52;13.48;11.75;0.57;22.5;1.67;2.29;2.64;"3"
88;0.5;12.36;7.65;0.56;21.0;3.83;1.04;2.38;"3"
107;0.5;13.69;5.88;0.96;20.0;3.26;0.8;2.54;"3"
106;0.6;12.85;5.58;0.87;22.0;3.27;0.96;2.58;"3"
106;0.4;12.96;5.28;0.68;18.5;3.45;0.94;2.35;"3"
90;0.41;13.78;9.58;0.7;22.0;2.76;1.03;2.3;"3"
88;0.52;13.73;6.62;0.78;22.5;4.36;1.15;2.26;"3"
111;0.43;13.45;10.68;0.85;23.0;3.7;1.46;2.6;"3"
88;0.4;12.82;10.26;0.72;19.5;3.37;0.97;2.3;"3"
105;0.39;13.58;8.66;0.74;24.5;2.58;1.54;2.69;"3"
112;0.27;13.4;8.5;0.67;25.0;4.6;1.11;2.86;"3"
96;0.4;12.2;5.5;0.66;19.0;3.03;0.73;2.32;"3"
86;0.48;12.77;9.899999000000001;0.57;19.5;2.39;0.64;2.28;"3"
91;0.44;14.16;9.7;0.62;20.0;2.51;1.24;2.48;"3"
95;0.52;13.71;7.7;0.64;20.5;5.65;1.06;2.45;"3"
102;0.43;13.4;7.3;0.7;23.0;3.91;1.41;2.48;"3"
120;0.43;13.27;10.2;0.59;20.0;4.28;1.35;2.26;"3"
120;0.53;13.17;9.3;0.6;20.0;2.59;1.46;2.37;"3"
96;0.56;14.13;9.2;0.61;24.5;4.1;1.35;2.74;"3"
